name,website,website_verified,phone,email,services,size_category,estimated_employees,revenue_estimate,revenue_low,revenue_high,confidence_score,company_number,address,date_created,source
Tyrenet,https://tyrenet.net/,True,0798961579,service@tyrenet.net,"24 Hour Service, Mobile Fitting, Fleet Services, Emergency Callout, Retreading",Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
Tructyre ATS,https://www.tructyre.co.uk/,False,,,,Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
Bandvulc,https://www.bandvulc.co.uk/,True,03921568627,,"24 Hour Service, Mobile Fitting, Fleet Services, Emergency Callout, Retreading",Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
ATS Euromaster Commercial,https://www.atseuromaster.co.uk/,False,,,,Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
National Tyres Commercial,https://www.national.co.uk/,False,,,,Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
Micheldever Fleet Solutions,https://www.micheldeverfleetsolutions.co.uk/,True,,mfs@micheldever.co.uk,"24 Hour Service, Mobile Fitting, Fleet Services, Emergency Callout",Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
Bush Tyres,https://www.bushtyres.co.uk/,True,08001383455,attleborough@bushtyres.co.uk,"24 Hour Service, Mobile Fitting, Fleet Services",Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
Protyre Commercial,https://www.protyre.co.uk/,False,,,,Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
Kirkby Tyres,https://www.kirkbytyres.co.uk/,False,,,,Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
Stapleton's Tyre Services,https://www.stapleton-tyres.co.uk/,False,,,,Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
Michelin Truck UK,https://business.michelin.co.uk/,True,05523534366,,"24 Hour Service, Mobile Fitting, Fleet Services, Emergency Callout, Retreading",Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
Bridgestone Commercial UK,https://www.bridgestone.co.uk/,True,026465167521,,"24 Hour Service, Mobile Fitting, Fleet Services, Retreading",Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
Continental Truck UK,https://www.continental-tyres.co.uk/,True,05577696917,,"24 Hour Service, Mobile Fitting, Retreading",Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
Goodyear Truck UK,https://www.goodyear.eu/en_gb/,False,,,,Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
Pirelli Commercial UK,https://www.pirelli.com/tyres/en-gb/,False,,,,Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
Hankook Truck UK,https://www.hankooktire.com/uk/,False,,,,Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
Yokohama Commercial UK,https://www.yokohama.co.uk/,False,,,,Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
Dunlop Commercial UK,https://www.dunlop.eu/,False,,,,Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
Firestone Commercial UK,https://www.firestone.eu/,False,,,,Large,50-500+,£10M - £100M+,10000000,100000000,85,,,,Verified Manual Entry
247 Mobile Truck Tyres,https://www.247mobiletrucktyres.co.uk/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Tyre Assist 365,https://www.tyreassist365.com/,True,03332 407592,,"24 Hour Service, Mobile Fitting, Emergency Callout",Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Kingsway Tyres,https://www.kingswaytyres.com/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Lodge Tyre Company,https://www.lodgetyre.com/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
McConechy Tyres,https://www.mcconechys.co.uk/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Watling Tyres,https://www.watlingtyres.co.uk/,True,01233359050,contact@watlingtyres.co.uk,"24 Hour Service, Mobile Fitting, Fleet Services, Emergency Callout",Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Hometyre,https://www.hometyre.co.uk/,True,0333 444 5454,,"24 Hour Service, Mobile Fitting, Fleet Services",Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Merityre Commercial,https://www.merityre.co.uk/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Point S UK,https://www.point-s.co.uk/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
First Stop Commercial,https://www.firststop.co.uk/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Fleet Tyre Group,https://www.fleet-tyres.co.uk/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Fleet Operations,https://www.fleetoperations.co.uk/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Venson Automotive,https://www.venson.com/,True,03300 947 801,,"24 Hour Service, Mobile Fitting, Fleet Services, Emergency Callout",Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Truck Tyre Specialists (TTS),https://www.trucktyrespecialists.co.uk/,True,01934 622626,,"24 Hour Service, Mobile Fitting, Fleet Services, Retreading",Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Big Tyres,https://www.bigtyres.co.uk/,True,0115 994 0900,,"24 Hour Service, Mobile Fitting",Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Northern Commercials,https://www.northerncommercials.co.uk/,True,08003523077,office@northerncommercials.co.uk,"24 Hour Service, Mobile Fitting, Fleet Services, Emergency Callout",Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Vacu-Lug Traction Tyres,https://www.vaculug.co.uk/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Bond International,https://www.bondinternational.com/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Euro Pool Tyres,https://www.europooltyres.co.uk/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Deldo Tyres,https://www.deldo.co.uk/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
BFGoodrich Commercial UK,https://www.bfgoodrich.co.uk/,True,043004470922,,"24 Hour Service, Mobile Fitting",Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Kumho Truck UK,https://www.kumhotyre.co.uk/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Toyo Truck UK,https://www.toyo.co.uk/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Falken Truck UK,https://www.falkentyres.co.uk/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Giti Truck UK,https://www.giti.co.uk/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Triangle Truck UK,https://www.triangletyre.com/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Linglong Truck UK,https://www.linglong.co.uk/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Sailun Truck UK,https://www.sailuntyre.com/,False,,,,Medium,15-50,£2M - £10M,2000000,10000000,75,,,,Verified Manual Entry
Roadstar Tyres,https://www.roadstartyres.com/,True,03921568627,,"24 Hour Service, Mobile Fitting, Fleet Services",Medium,15-50,£1.0M - £5.0M,1000000,5000000,55,,,,Verified Manual Entry
Tyres247,https://www.tyres247.uk/,True,07463 664769,sales@tyres247.uk,"24 Hour Service, Mobile Fitting, Fleet Services, Emergency Callout",Medium,15-50,£1.0M - £5.0M,1000000,5000000,55,,,,Verified Manual Entry
TRUCK TYRE SOLUTIONS LTD,https://www.trucktyresolutions.co.uk,True,0121 716 8569,itsupport@trucktyresolutions.co.uk,"24 Hour Service, Mobile Fitting, Fleet Services, Emergency Callout, Retreading",Medium,15-50,£1.0M - £5.0M,1000000,5000000,75,05733614,"Station Road, Rowley Regis, W Midlands, United Kingdom, B65 0LJ",2006-03-07,Companies House
TRUCK TYRES UK LIMITED,https://www.trucktyresuk.com,True,07831289222,ts2000ltd@aol.com,"24 Hour Service, Mobile Fitting, Fleet Services",Medium,15-50,£1.0M - £5.0M,1000000,5000000,65,SC644925,"Blue Square Offices Ltd, Bath Street, Glasgow, Scotland, G2 4JR",2019-10-21,Companies House
COMMERCIAL TYRE SOLUTIONS LTD,https://www.commercial-tyre-solutions.co.uk,True,03872045548,info@commercial-tyre-solutions.co.uk,"24 Hour Service, Mobile Fitting, Fleet Services, Emergency Callout",Medium,15-50,£1.0M - £5.0M,1000000,5000000,55,15143167,"71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",2023-09-17,Companies House
Mobile Tyre Fitting UK,https://www.mobiletyrefittinguk.co.uk/,True,0808 281 5669,,"24 Hour Service, Mobile Fitting, Emergency Callout",Small-Medium,5-20,£500K - £2M,500000,2000000,70,,,,Verified Manual Entry
HGV Direct Tyres,https://www.hgvdirect.co.uk/,False,,,,Small-Medium,5-20,£500K - £2M,500000,2000000,70,,,,Verified Manual Entry
24hr Mobile Tyres,https://www.24hrmobiletyres.co.uk/,True,07932667111,mobiletyres24hr@hotmail.co.uk,"24 Hour Service, Mobile Fitting, Emergency Callout",Small-Medium,5-15,£500K - £2000K,500000,2000000,35,,,,Verified Manual Entry
Fleetline Tyres,https://www.fleetlinetyres.co.uk/,True,0121 5652774,,"24 Hour Service, Mobile Fitting, Fleet Services",Small-Medium,5-20,£500K - £2M,500000,2000000,70,,,,Verified Manual Entry
Truck Tyres Direct,https://www.trucktyresdirect.co.uk/,True,01933 623955,,"24 Hour Service, Mobile Fitting, Retreading",Small-Medium,5-20,£500K - £2M,500000,2000000,70,,,,Verified Manual Entry
Truck Tyres 2 U,https://www.trucktyres2u.co.uk/,True,097560975609,,"24 Hour Service, Fleet Services",Small-Medium,5-20,£500K - £2M,500000,2000000,70,,,,Verified Manual Entry
